medal date,medal type,medal code, Player name,gender,country
27-07-24,Gold Medal,1,EVENEPOEL Remco,Male,Belgium
27-07-24,Silver Medal,2,GANNA Filippo,Male,Italy
27-07-24,Bronze Medal,3,van AERT Wout,Male,Belgium
27-07-24,Gold Medal,1,BROWN Grace,Female,Australia
27-07-24,Silver Medal,2,HENDERSON Anna,Female,Great Britain
27-07-24,Bronze Medal,3,DYGERT Chloe,Female,United States
27-07-24,Gold Medal,1,OH Sanguk,Male,Korea
27-07-24,Silver Medal,2,FERJANI Fares,Male,Tunisia
27-07-24,Bronze Medal,3,SAMELE Luigi,Male,Italy
27-07-24,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China"
27-07-24,Silver Medal,2,MALLO-BRETON Auriane,Female,France
27-07-24,Bronze Medal,3,MUHARI Eszter,Female,Hungary
27-07-24,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan
27-07-24,Silver Medal,2,MKHEIDZE Luka,Male,France
27-07-24,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan
27-07-24,Bronze Medal,3,GARRIGOS Francisco,Male,Spain
27-07-24,Gold Medal,1,TSUNODA Natsumi,Female,Japan
27-07-24,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia
27-07-24,Bronze Medal,3,BOUKLI Shirine,Female,France
27-07-24,Bronze Medal,3,BABULFATH Tara,Female,Sweden
27-07-24,Gold Medal,1,MAERTENS Lukas,Male,Germany
27-07-24,Silver Medal,2,WINNINGTON Elijah,Male,Australia
27-07-24,Bronze Medal,3,KIM Woomin,Male,Korea
27-07-24,Gold Medal,1,TITMUS Ariarne,Female,Australia
27-07-24,Silver Medal,2,McINTOSH Summer,Female,Canada
27-07-24,Bronze Medal,3,LEDECKY Katie,Female,United States
28-07-24,Gold Medal,1,FOX Jessica,Female,Australia
28-07-24,Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland
28-07-24,Bronze Medal,3,WOODS Kimberley,Female,Great Britain
28-07-24,Gold Medal,1,FERRAND PREVOT Pauline,Female,France
28-07-24,Silver Medal,2,BATTEN Haley,Female,United States
28-07-24,Bronze Medal,3,RISSVEDS Jenny,Female,Sweden
28-07-24,Gold Medal,1,KANO Koki,Male,Japan
28-07-24,Silver Medal,2,BOREL Yannick,Male,France
28-07-24,Bronze Medal,3,ELSAYED Mohamed,Male,Egypt
28-07-24,Gold Medal,1,KIEFER Lee,Female,United States
28-07-24,Silver Medal,2,SCRUGGS Lauren,Female,United States
28-07-24,Bronze Medal,3,HARVEY Eleanor,Female,Canada
28-07-24,Gold Medal,1,ABE Hifumi,Male,Japan
